num_songs,artist_id,artist_latitude,artist_longitude,artist_location,artist_name,song_id,title,duration,year
1,AR7G5I41187FB4CE6C,,,"London, England",Adam Ant,SONHOTT12A8C13493C,Something Girls,233.40363,1982
1,AR8ZCNI1187B9A069B,,,,Planet P Project,SOIAZJW12AB01853F1,Pink World,269.81832,1984
1,ARXR32B1187FB57099,,,,Gob,SOFSOCN12A8C143F5D,Face the Ashes,209.60608,2007
1,AR10USD1187B99F3F1,,,"Burlington, Ontario, Canada",Tweeterfriendly Music,SOHKNRJ12A6701D1F8,Drop of Rain,189.57016,0
1,ARGSJW91187B9B1D6B,35.21962,-80.01955,North Carolina,JennyAnyKind,SOQHXMF12AB0182363,Young Boy Blues,218.77506,0
1,ARMJAGH1187FB546F3,35.14968,-90.04892,"Memphis, TN",The Box Tops,SOCIWDW12A8C13D406,Soul Deep,148.03546,1969
1,ARD7TVE1187B99BFB1,,,California - LA,Casual,SOMZWCG12A8C13C480,I Didn't Mean To,218.93179,0
1,ARKRRTF1187B9984DA,,,,Sonora Santanera,SOXVLOJ12AB0189215,Amor De Cabaret,177.47546,0
1,ARNTLGG11E2835DDB9,,,,Clp,SOUDSGM12AC9618304,Insatiable (Instrumental Version),266.39628,0
1,ARKFYS91187B98E58F,,,,Jeff And Sheri Easter,SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),267.7024,0
1,ARD0S291187B9B7BF5,,,Ohio,Rated R,SOMJBYD12A6D4F8557,Keepin It Real (Skit),114.78159,0
1,ARH4Z031187B9A71F2,40.73197,-74.17418,"Newark, NJ",Faye Adams,SOVYKGO12AB0187199,Crazy Mixed Up World,156.39465,1961
1,ARB29H41187B98F0EF,41.88415,-87.63241,Chicago,Terry Callier,SOGNCJP12A58A80271,Do You Finally Need A Friend,342.56934,1972
1,AR0RCMP1187FB3F427,30.08615,-94.10158,"Beaumont, TX",Billie Jo Spears,SOGXHEG12AB018653E,It Makes No Difference Now,133.32853,1992
1,AR47JEX1187B995D81,37.83721,-94.35868,"Nevada, MO",SUE THOMPSON,SOBLGCN12AB0183212,James (Hold The Ladder Steady),124.86485,1985
1,ARNTLGG11E2835DDB9,,,,Clp,SOZQDIU12A58A7BCF6,Superconfidential,338.31138,0
1,AREBBGV1187FB523D2,,,"Houston, TX",Mike Jones (Featuring CJ_ Mello & Lil' Bran),SOOLYAZ12A6701F4A6,Laws Patrolling (Album Version),173.66159,0
1,ARMAC4T1187FB3FA4C,40.82624,-74.47995,"Morris Plains, NJ",The Dillinger Escape Plan,SOBBUGU12A8C13E95D,Setting Fire to Sleeping Giants,207.77751,2004
1,ARAJPHH1187FB5566A,40.7038,-73.83168,"Queens, NY",The Shangri-Las,SOYTPEP12AB0180E7B,Twist and Shout,164.80608,1964
1,ARGIWFO1187B9B55B7,,,,Five Bolt Main,SOPSWQW12A6D4F8781,Made Like This (Live),225.09669,0
1,ARDNS031187B9924F0,32.67828,-83.22295,Georgia,Tim Wilson,SONYPOM12A8C13B2D7,I Think My Wife Is Running Around On Me (Taco Hell),186.48771,2005
1,ARGUVEV1187B98BA17,,,,Sierra Maestra,SOGOSOV12AF72A285E,¿Dónde va Chichi?,313.12934,1997
1,AR5KOSW1187FB35FF4,49.80388,15.47491,Dubai UAE,Elena,SOZCTXZ12AB0182364,Setanta matins,269.58322,0
